row_id,country_code,year,agricultural_land_area,percentage_of_arable_land_equipped_for_irrigation,cereal_yield,droughts_floods_extreme_temps,forest_area,total_land_area,fertility_rate,life_expectancy,rural_population,total_population,urban_population,population_growth,avg_value_of_food_production,cereal_import_dependency_ratio,food_imports_as_share_of_merch_exports,gross_domestic_product_per_capita_ppp,imports_of_goods_and_services,inequality_index,net_oda_received_percent_gni,net_oda_received_per_capita,tax_revenue_share_gdp,trade_in_services,per_capita_food_production_variability,per_capita_food_supply_variability,adult_literacy_rate,school_enrollment_rate_female,school_enrollment_rate_total,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_sanitation,access_to_improved_water_sources,anemia_prevalence,obesity_prevalence,open_defecation,hiv_incidence,rail_lines_density,access_to_electricity,co2_emissions,unemployment_rate,total_labor_force,military_expenditure_share_gdp,proportion_of_seats_held_by_women_in_gov,political_stability
0,889f053,2002,235077.6581,38.55852049,935.7543654,,5397.737544,537408.3125,5.928981318,60.45222656,13540870.67,18899505.08,5086452.515,2.864931147,60.891336,78.45275424,22.08053916,3969.519106,38.3518037,,2.233562403,11.65897859,,,1.968090015,15.69349162,,,,11.02406229,64.12957109,43.2865023,57.9328009,59.06144322,8.293939668,28.93352946,0.009975075,,52.43323925,15485.14817,14.78801959,4350520.541,7.021072231,0.698153489,-1.393800541
1,9e614ab,2012,23000.64074,21.28263092,4031.452161,,178336.5299,232013.6317,3.000629129,64.6554185,4070196.56,6447522.545,2267000.342,1.299884124,266.0659986,-5.250877565,8.897987592,4527.258045,60.28189929,36.53777762,4.351314732,63.83327519,13.49445244,8.92996305,4.925827281,26.48129731,,92.71127927,96.39250668,14.04616364,68.28570743,63.51321965,71.12073748,36.90108387,2.483303431,29.66578857,0.02984032,,77.71557378,1696.458184,0.687018331,3262614.201,0.198831487,25.10182573,0.03055626
2,100c476,2000,90.95486731,4.317079667,1581.935278,,101.7805664,445.0371369,2.301860151,74.3478059,56894.35323,83777.29085,26767.56458,2.1500289,111.6335602,88.0495961,58.90612874,18513.52451,59.98517408,,1.282396762,119.6105894,12.52185025,69.94727081,2.179871636,15.70575665,,,,47.20330826,28.11074969,85.82071229,97.58732415,27.2428176,18.72644819,1.331620804,,,91.15098076,338.7951906,,,,5.395412855,0.651586201
3,4609682,2013,100843.6612,16.636618,1127.626364,,10348.86693,154616.1482,2.199311032,74.69840465,3743950.439,11201673.38,7282983.055,1.185708642,334.2529602,,,10710.26671,57.60844879,,1.628241356,64.96652466,,17.27045586,15.78906702,16.19111233,,,99.83705745,,,92.27431463,95.61151491,29.07691853,23.2185477,1.549191172,0.010186128,1.27709552,99.03040254,27377.8026,15.94835617,3979141.384,1.626304861,26.73595119,-0.928787671
4,be2a7f5,2008,224.289357,,1418.987212,,460.1134239,740.2956586,,,22894.37821,70708.04037,47348.29874,0.173571428,365.2141425,101.2568351,76.15410291,10416.09895,62.70997301,,4.90072076,296.2482562,24.35886505,40.22741895,23.77178307,55.0670351,,88.23129768,88.08236744,51.58600994,34.32663506,,,25.00884628,20.01081222,7.564733498,,,91.93036652,134.2580833,,,,19.13681292,0.956027366
5,7e222a7,2014,51966.19326,,1582.768005,,230945.218,256353.865,3.91841501,65.21897867,249411.4967,1847782.379,1607201.731,3.203028951,,,,16718.78182,29.36123422,,0.658288226,59.66099353,,,3.880810945,,,,,,,41.45980749,92.64385364,59.64087596,13.44081362,2.968139155,0.167051514,0.30485405,89.72841745,5184.563499,19.81782842,614744.5195,1.134903535,15.25047499,0.171855346
6,066b021,2007,47126.69539,98.27035405,2448.112056,,4142.631737,142737.4278,3.438755227,67.36704631,5178248.38,7158708.047,1893276.676,2.128119535,114.3911489,51.13420848,21.82439046,1852.673508,69.0888043,32.02569049,6.488161626,32.52226478,,20.04137727,5.947639533,30.95768094,,92.8947754,94.19266001,9.884698345,64.47992766,93.70454245,66.0406813,33.46386475,7.745656959,0.721260633,0.039340325,,100.7112551,3197.955249,11.38832195,2693342.656,,17.43431034,-0.744149866
7,66b86bf,2000,55456.49514,18.01485401,2431.912942,,34131.53288,110392.3653,1.236623576,70.49652596,2584442.625,8077407.408,5588845.39,-0.498341957,367.4382517,-17.2554277,5.985780414,8928.26919,42.33087243,,,,17.46083041,29.69370541,26.28988598,103.464307,,95.40658435,96.00550945,40.76364789,42.61364054,86.39434726,100.3531933,24.34904687,17.92702854,0,,3.934426743,99.67125684,43300.30822,16.29828124,3415826.921,2.622547461,10.82996996,0.349050342
8,583201c,2010,156937.911,0.712354206,1789.01784,,93036.30748,224242.6354,4.250669227,61.76176216,12041221.75,24918630.96,12575699.27,2.561977323,268.6826715,26.02297707,17.30561547,3080.458999,45.19581861,,5.392429208,68.33688318,13.50250838,13.67723159,9.411110762,58.93935201,70.29685844,,,14.73099441,63.12309332,13.75093707,84.18168167,50.35032486,8.628101019,19.4141609,0.090388535,,65.72473414,10046.84765,5.327146003,11501322.09,0.373554202,8.259958529,0.019875233
9,0ea781c,2009,343.5403239,,,0,1719.216388,2774.152202,4.444528921,72.92440957,145055.9478,186003.9543,36932.46259,0.703869927,270.2434678,,121.8895527,5507.905054,50.90675577,,14.20724833,407.1302327,,43.9309328,8.146204302,45.50010912,,,99.72336883,48.46535028,28.45687324,93.28467909,97.40750719,23.03145962,41.22610375,0.07933751,,,96.15875035,189.0066994,3.903821736,37747.85138,,8.326756648,0.980387204
10,2ddc563,2015,16767.62186,,3095.324887,,3278.327674,28827.55993,1.609726035,75.56733754,1070889.052,2903656.605,1826512.953,0.36745653,,,,8105.834114,42.29503076,31.76186759,3.204204942,117.8312736,20.77954667,30.07411459,,,,92.45796443,91.04367508,,,90.42864578,100.6895354,28.15801664,,0,0.010185127,2.408500031,100.3896961,,18.54976626,1406863.716,4.21593809,10.64440798,-0.287083269
